series_id,group
GLFOSVT,rba1
GLFOSVPS,rba1
GLFOSVTLF,rba1
GISSRTC,rba1
GISPSDA,rba1
GICWMICS,rba1
GICNBC,rba1
GISPSNBA,rba1
GCONEXP,rba1
GBUSEXP,rba1
GUNIEXPY,rba1
GUNIEXPYY,rba1
GMAREXPY,rba1
GMAREXPYY,rba1
GBONYLD,rba1
GRCPAIAD,rba1
GRCPRCAD,rba1
GRCPNRAD,rba1
GRCPBMAD,rba1
GRCPBCAD,rba1
GRCPAISAD,rba1
GRCPBCSAD,rba1
FOOIRUSFFTRMX,rba1
FOOIRJTCR,rba1
FOOIREARR,rba1
FOOIRUKOBR,rba1
FOOIRCTR,rba1
FOOIRATCR,rba1
FIRMMBAB30,rba1
FIRMMBAB90,rba1
FIRMMBAB180,rba1
FIRMMOIS1,rba1
FIRMMOIS3,rba1
FIRMMOIS6,rba1
FCMYGBAG2,rba1
FCMYGBAG3,rba1
FCMYGBAG5,rba1
FCMYGBAG10,rba1
FILRSBVRT,rba1
FILRSBVOO,rba1
FILRHLBVS,rba1
FILRHLBVD,rba1
FILRHLBVO,rba1
FILRHL3YF,rba1
FILRHLBVSI,rba1
FILRHLBVDI,rba1
FILRHLBVDO,rba1
FILRHL3YFI,rba1
FILRPLRCCS,rba1
FILRPLRCCL,rba1
DGFACHM,rba1
DGFACOHM,rba1
DGFACIHM,rba1
DGFACOPM,rba1
DMACN,rba2
DMATD,rba2
DMAM1N,rba2
DMAODCD,rba2
DMANTD,rba2
DMAM3N,rba2
DMANBPA,rba2
DMABMN,rba2
DMACS,rba2
DMAM1S,rba2
DMAM3S,rba2
DMABMS,rba2
DMAMMB,rba2
DMAMOAFI,rba2
FNFTA3M,rba3
FNFYA3M,rba3
FNFTA5M,rba3
FNFYA5M,rba3
FNFTA7M,rba3
FNFYA7M,rba3
FNFTA10M,rba3
FNFYA10M,rba3
FNFNA3M,rba3
FNFNA5M,rba3
FNFNA7M,rba3
FNFNA10M,rba3
FNFNA12M,rba3
FNFTBBB3M,rba3
FNFYBBB3M,rba3
FNFTBBB5M,rba3
FNFYBBB5M,rba3
FNFTBBB7M,rba3
FNFYBBB7M,rba3
FNFTBBB10M,rba3
FNFYBBB10M,rba3
FNFNBBB3M,rba3
FNFNBBB5M,rba3
FNFNBBB7M,rba3
FNFNBBB10M,rba3
FNFNBBB12M,rba3
FRERTWI,rba3
FRERIWI,rba3
FREREWI,rba3
FXRUSD,rba3
FXRTWI,rba3
FXRCR,rba3
FXRJY,rba3
FXREUR,rba3
FXRSKW,rba3
FXRUKPS,rba3
FXRSD,rba3
FXRIRE,rba3
FXRTB,rba3
FXRNZD,rba3
FXRNTD,rba3
FXRMR,rba3
FXRIR,rba3
FXRVD,rba3
FXRUAED,rba3
FXRPNGK,rba3
FXRHKD,rba3
FXRCD,rba3
FXRSARD,rba3
FXRSARY,rba3
FXRSF,rba3
FXRSK,rba3
FXRPHP,rba3
FXRSDR,rba3
BSPNSHNFD,rba3
BSPNSHNFO,rba3
BSPNSHNFT,rba3
BSPNSHUFAD,rba3
BSPNSHUFAR,rba3
BSPNSHUFAS,rba3
BSPNSHUFAO,rba3
BSPNSHUFAT,rba3
BSPNSHUA,rba3
BSPNSHUL,rba3
BSPNSHUNW,rba3
BSPNSHUDS,rba3
BSPNSHUDSYP,rba3
BSPNSPNFAD,rba3
BSPNSPNFAF,rba3
BSPNSPNFAO,rba3
BSPNSPNFAT,rba3
BSPNSPNLL,rba3
BSPNSPNLB,rba3
BSPNSPNLS,rba3
BSPNSPNLD,rba3
BSPNSPNLO,rba3
BSPNSPNLT,rba3
BHFDA,rba3
BHFHDHA,rba3
BHFDDIT,rba3
BHFDDIH,rba3
BHFDDIO,rba3
BHFADIT,rba3
BHFHDI,rba3
BHFADIFA,rba3
