package,date,series,series_id,series_type,frequency,value,unit,group,group_id
readabs,1/2/1978 0:00,Employed total ;  Persons ; (SA),A84423043C,Seasonally Adjusted,Monthly,5997.553494,0,Labour market,2
readabs,1/2/1978 0:00,> Employed full-time ;  Persons ; (SA),A84423041X,Seasonally Adjusted,Monthly,5079.454587,0,Labour market,2
readabs,1/2/1978 0:00,> Employed part-time ;  Persons ; (SA),A84423042A,Seasonally Adjusted,Monthly,918.0989071,0,Labour market,2
readabs,1/2/1978 0:00,Employment to population ratio ;  Persons ; (SA),A84423054K,Seasonally Adjusted,Monthly,57.1776607,Percent,Labour market,2
readabs,1/2/1978 0:00,Unemployed total ;  Persons ; (SA),A84423046K,Seasonally Adjusted,Monthly,426.8520581,0,Labour market,2
readabs,1/2/1978 0:00,> Unemployed looked for full-time work ;  Persons ; (SA),A84423044F,Seasonally Adjusted,Monthly,354.743806,0,Labour market,2
readabs,1/2/1978 0:00,> Unemployed looked for only part-time work ;  Persons ; (SA),A84423045J,Seasonally Adjusted,Monthly,72.1082521,0,Labour market,2
readabs,1/2/1978 0:00,Unemployment rate ;  Persons ; (SA),A84423050A,Seasonally Adjusted,Monthly,6.6442265,Percent,Labour market,2
readabs,1/2/1978 0:00,> Unemployment rate looked for full-time work ;  Persons ; (SA),A84423052F,Seasonally Adjusted,Monthly,6.5279878,Percent,Labour market,2
readabs,1/2/1978 0:00,> Unemployment rate looked for only part-time work ;  Persons ; (SA),A84423053J,Seasonally Adjusted,Monthly,7.282138,Percent,Labour market,2
readabs,1/2/1978 0:00,Labour force total ;  Persons ; (SA),A84423047L,Seasonally Adjusted,Monthly,6424.405552,0,Labour market,2
readabs,1/2/1978 0:00,Participation rate ;  Persons ; (SA),A84423051C,Seasonally Adjusted,Monthly,61.2470537,Percent,Labour market,2
readabs,1/2/1978 0:00,Underemployment rate (proportion of labour force) ;  Persons ; (SA),A85255725J,Seasonally Adjusted,Monthly,2.5513645,Percent,Labour market,2
readabs,1/2/1978 0:00,Underutilisation rate ;  Persons ; (SA),A85255726K,Seasonally Adjusted,Monthly,9.195591,Percent,Labour market,2
readabs,1/9/2017 0:00,"Index Numbers ;  All groups CPI ;  Australia ; (ORIG) (Prices, Monthly)",A128478317T,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Food and non-alcoholic beverages ;  Australia ; (ORIG) (Prices, Monthly)",A128480733V,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Bread and cereal products ;  Australia ; (ORIG),A128475629X,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Meat and seafoods ;  Australia ; (ORIG),A128479215W,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Dairy and related products ;  Australia ; (ORIG),A128477405X,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Fruit and vegetables ;  Australia ; (ORIG),A128480215V,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Food products n.e.c. ;  Australia ; (ORIG),A128475329W,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Non-alcoholic beverages ;  Australia ; (ORIG),A128473623X,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Alcohol and tobacco ;  Australia ; (ORIG) (Prices, Monthly)",A128477399R,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Alcoholic beverages ;  Australia ; (ORIG),A128479281V,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Tobacco ;  Australia ; (ORIG),A128484257R,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Clothing and footwear ;  Australia ; (ORIG) (Prices, Monthly)",A128475583C,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Garments ;  Australia ; (ORIG),A128478847A,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Housing ;  Australia ; (ORIG) (Prices, Monthly)",A128485865L,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Rents ;  Australia ; (ORIG),A128473449C,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  New dwelling purchase by owner-occupiers ;  Australia ; (ORIG),A128475405L,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Electricity ;  Australia ; (ORIG),A128474303F,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Gas and other household fuels ;  Australia ; (ORIG),A128476849V,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Furnishings, household equipment and services ;  Australia ; (ORIG) (Prices, Monthly)",A128485881L,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Health ;  Australia ; (ORIG) (Prices, Monthly)",A128473315W,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Transport ;  Australia ; (ORIG) (Prices, Monthly)",A128482435J,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Automotive fuel ;  Australia ; (ORIG),A128484685K,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Communication ;  Australia ; (ORIG) (Prices, Monthly)",A128475063X,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Recreation and culture ;  Australia ; (ORIG) (Prices, Monthly)",A128478473V,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  Holiday travel and accommodation ;  Australia ; (ORIG),A128475797K,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Education ;  Australia ; (ORIG) (Prices, Monthly)",A128473361K,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Insurance and financial services ;  Australia ; (ORIG) (Prices, Monthly)",A128477043A,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  All groups CPI excluding 'volatile items' ;  Australia ; (ORIG) (Prices, Monthly)",A128473239F,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  All groups CPI, seasonally adjusted ;  Australia ; (SA) (Prices, Monthly)",A128481587A,Seasonally Adjusted,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  All groups CPI excluding 'volatile items' and holiday travel ;  Australia ; (ORIG),A130184499R,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,Index Numbers ;  All groups CPI excluding 'volatile items' and holiday travel ;  Australia ; (SA),A130184501R,Seasonally Adjusted,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  All groups, goods component ;  Australia ; (ORIG) (Prices, Monthly)",A128483461F,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  All groups, services component ;  Australia ; (ORIG) (Prices, Monthly)",A128481639T,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Tradables ;  Australia ; (ORIG) (Prices, Monthly)",A128476505R,Original,Monthly,100,Index,Prices,7
readabs,1/9/2017 0:00,"Index Numbers ;  Non-tradables ;  Australia ; (ORIG) (Prices, Monthly)",A128480133R,Original,Monthly,100,Index,Prices,7
readrba,31/7/1992 0:00,1-month BABs/NCDs (ORIG),FIRMMBAB30,Original,Monthly,5.84,Percent,Bond and exchange rates,6
readrba,31/7/2001 0:00,1-month OIS (ORIG),FIRMMOIS1,Original,Monthly,4.98,Percent,Bond and exchange rates,6
readrba,30/6/1969 0:00,3-month BABs/NCDs (ORIG),FIRMMBAB90,Original,Monthly,5.9,Percent,Bond and exchange rates,6
readrba,31/7/2001 0:00,3-month OIS (ORIG),FIRMMOIS3,Original,Monthly,4.97,Percent,Bond and exchange rates,6
readrba,31/7/1992 0:00,6-month BABs/NCDs (ORIG),FIRMMBAB180,Original,Monthly,5.5,Percent,Bond and exchange rates,6
readrba,31/7/2001 0:00,6-month OIS (ORIG),FIRMMOIS6,Original,Monthly,5.01,Percent,Bond and exchange rates,6
readrba,31/1/1990 0:00,Australia Target Cash Rate (ORIG),FOOIRATCR,Original,Monthly,17,Percent,Bond and exchange rates,6
readrba,31/7/1969 0:00,Australian Government 10 year bond (ORIG),FCMYGBAG10,Original,Monthly,5.8,Percent,Bond and exchange rates,6
readrba,31/1/1995 0:00,Australian Government 2 year bond (ORIG),FCMYGBAG2,Original,Monthly,10.202,Percent,Bond and exchange rates,6
readrba,30/6/1992 0:00,Australian Government 3 year bond (ORIG),FCMYGBAG3,Original,Monthly,7.04,Percent,Bond and exchange rates,6
readrba,31/1/1972 0:00,Australian Government 5 year bond (ORIG),FCMYGBAG5,Original,Monthly,5.65,Percent,Bond and exchange rates,6
readrba,31/7/1982 0:00,Base metals prices – A$ (ORIG),GRCPBMAD,Original,Monthly,18.54152541,"Index, 2022/23=100",Prices,7
readrba,31/7/1982 0:00,Bulk commodities prices – A$ (ORIG),GRCPBCAD,Original,Monthly,16.78611929,"Index, 2022/23=100",Prices,7
readrba,31/1/2009 0:00,Bulk commodities spot prices – A$ (ORIG),GRCPBCSAD,Original,Monthly,56.92986506,"Index, 2022/23=100",Prices,7
readrba,31/3/1997 0:00,Business conditions (SA),GICNBC,Seasonally Adjusted,Monthly,-7.515541542,Percentage points,Output and income,1
readrba,31/1/1980 0:00,Canada Target Rate (ORIG),FOOIRCTR,Original,Monthly,14,Percent,Bond and exchange rates,6
readrba,31/7/1982 0:00,Commodity prices – A$ (ORIG),GRCPAIAD,Original,Monthly,17.51761154,"Index, 2022/23=100",Prices,7
readrba,31/1/2009 0:00,Commodity prices (with bulk commodities spot prices) – A$ (ORIG),GRCPAISAD,Original,Monthly,52.35653723,"Index, 2022/23=100",Prices,7
readrba,31/1/2010 0:00,Consumer sentiment (SA),GICWMICS,Seasonally Adjusted,Monthly,120.1247394,Index,"Consumption, orders and inventories",4
readrba,30/9/1976 0:00,Credit; Housing; Monthly growth (SA),DGFACHM,Seasonally Adjusted,Monthly,1.638709832,Percent,Money and credit,5
readrba,28/2/1990 0:00,Credit; Investor housing; Monthly growth (SA),DGFACIHM,Seasonally Adjusted,Monthly,4.371916914,Percent,Money and credit,5
readrba,31/10/1976 0:00,Credit; Other personal; Monthly growth (SA),DGFACOPM,Seasonally Adjusted,Monthly,2.363489832,Percent,Money and credit,5
readrba,28/2/1990 0:00,Credit; Owner-occupier housing; Monthly growth (SA),DGFACOHM,Seasonally Adjusted,Monthly,0.903361568,Percent,Money and credit,5
readrba,31/1/1999 0:00,Euro Area Refinancing Rate (ORIG),FOOIREARR,Original,Monthly,3,Percent,Bond and exchange rates,6
readrba,31/1/1980 0:00,Japan Policy Rate (ORIG),FOOIRJTCR,Original,Monthly,6.25,Percent,Bond and exchange rates,6
readrba,31/8/2015 0:00,Lending rates; Housing loans; Banks; 3-year fixed; Investor (ORIG),FILRHL3YFI,Original,Monthly,5.05,Percent,,
readrba,30/9/1990 0:00,Lending rates; Housing loans; Banks; 3-year fixed; Owner-occupier (ORIG),FILRHL3YF,Original,Monthly,15.5,Percent,,
readrba,31/8/2015 0:00,Lending rates; Housing loans; Banks; Variable; Discounted; Investor (ORIG),FILRHLBVDI,Original,Monthly,4.94,Percent,,
readrba,30/6/2004 0:00,Lending rates; Housing loans; Banks; Variable; Discounted; Owner-occupier (ORIG),FILRHLBVD,Original,Monthly,6.59,Percent,,
readrba,30/4/2017 0:00,Lending rates; Housing loans; Banks; Variable; Standard interest-only; Investor (ORIG),FILRHLBVDO,Original,Monthly,5.88,Percent,,
readrba,31/8/2015 0:00,Lending rates; Housing loans; Banks; Variable; Standard interest-only; Owner-occupier (ORIG),FILRHLBVO,Original,Monthly,5.72,Percent,,
readrba,31/8/2015 0:00,Lending rates; Housing loans; Banks; Variable; Standard; Investor (ORIG),FILRHLBVSI,Original,Monthly,5.73,Percent,,
readrba,31/1/1959 0:00,Lending rates; Housing loans; Banks; Variable; Standard; Owner-occupier (ORIG),FILRHLBVS,Original,Monthly,5,Percent,,
readrba,30/11/2003 0:00,Lending rates; Personal loans; Revolving credit; Credit cards; Low rate (ORIG),FILRPLRCCL,Original,Monthly,10.72,Percent,,
readrba,31/1/1990 0:00,Lending rates; Personal loans; Revolving credit; Credit cards; Standard (ORIG),FILRPLRCCS,Original,Monthly,22.72,Percent,,
readrba,29/2/1976 0:00,Lending rates; Small business; Variable; Overdraft (ORIG),FILRSBVOO,Original,Monthly,10.46,Percent,,
readrba,30/4/1996 0:00,Lending rates; Small business; Variable; Term (ORIG),FILRSBVRT,Original,Monthly,10.5,Percent,,
readrba,31/7/1982 0:00,Non-rural commodity prices – A$ (ORIG),GRCPNRAD,Original,Monthly,16.76777758,"Index, 2022/23=100",,
readrba,31/1/1965 0:00,Private dwelling approvals (SA),GISPSDA,Seasonally Adjusted,Monthly,8.777,0,,
readrba,31/7/2000 0:00,Private non-residential building approvals (ORIG),GISPSNBA,Original,Monthly,850.541,$ Millions,,
readrba,31/1/1965 0:00,Retail sales (SA),GISSRTC,Seasonally Adjusted,Monthly,603.7,$ Millions,,
readrba,31/7/1982 0:00,Rural commodity prices – A$ (ORIG),GRCPRCAD,Original,Monthly,28.36951155,"Index, 2022/23=100",,
readrba,31/5/1997 0:00,United Kingdom Bank Rate (ORIG),FOOIRUKOBR,Original,Monthly,6.25,Percent,,
readrba,31/1/1980 0:00,United States Federal Funds Maximum Target Rate (ORIG),FOOIRUSFFTRMX,Original,Monthly,14,Percent,,
readrba,31/8/1976 0:00,Broad money (ORIG),DMABMN,Original,Monthly,49.989,$ Billions,,
readrba,31/8/1976 0:00,Broad money: Seasonally adjusted (SA),DMABMS,Seasonally Adjusted,Monthly,50.456,$ Billions,,
readrba,30/6/1984 0:00,Certificates of deposit issued by ADIs (ORIG),DMAODCD,Original,Monthly,3.888,$ Billions,,
readrba,31/7/1959 0:00,Currency (ORIG),DMACN,Original,Monthly,0.767,$ Billions,,
readrba,31/7/1959 0:00,Currency: Seasonally adjusted (SA),DMACS,Seasonally Adjusted,Monthly,0.776,$ Billions,,
readrba,28/2/1975 0:00,M1 (ORIG),DMAM1N,Original,Monthly,8.464,$ Billions,,
readrba,28/2/1975 0:00,M1: Seasonally adjusted (SA),DMAM1S,Seasonally Adjusted,Monthly,8.269,$ Billions,,
readrba,31/7/1959 0:00,M3 (ORIG),DMAM3N,Original,Monthly,6.71,$ Billions,,
readrba,31/3/1965 0:00,M3: Seasonally adjusted (SA),DMAM3S,Seasonally Adjusted,Monthly,10.362,$ Billions,,
readrba,28/2/1975 0:00,Money base (ORIG),DMAMMB,Original,Monthly,4.117,$ Billions,,
readrba,31/3/2002 0:00,Non-Transaction Deposits with ADIs (ORIG),DMANTD,Original,Monthly,214.345,$ Billions,,
readrba,30/6/1984 0:00,Offshore borrowings by AFIs (ORIG),DMAMOAFI,Original,Monthly,2.77,$ Billions,,
readrba,31/8/1976 0:00,Other borrowings from private sector by AFIs (ORIG),DMANBPA,Original,Monthly,11.701,$ Billions,,
