"package","date","series","series_id","series_type","frequency","value","unit","category"
"readabs",1959-09-01,"Gross domestic product: Chain volume measures ; (SA)","A2304402X","Seasonally Adjusted","Quarterly",74021,"$ Millions","GDP"
"readabs",1959-09-01,"GDP per capita: Chain volume measures ; (SA)","A2304404C","Seasonally Adjusted","Quarterly",NA,"$","GDP"
"readabs",1959-09-01,"Gross value added market sector: Chain volume measures ; (SA)","A3606056V","Seasonally Adjusted","Quarterly",NA,"$ Millions","GDP"
"readabs",1959-09-01,"Net domestic product: Chain volume measures ; (SA)","A2304408L","Seasonally Adjusted","Quarterly",69419,"$ Millions","GDP"
"readabs",1959-09-01,"Real gross domestic income: Chain volume measures ; (SA)","A2304410X","Seasonally Adjusted","Quarterly",63754,"$ Millions","GDP"
"readabs",1959-09-01,"Real gross national income: Chain volume measures ; (SA)","A2304412C","Seasonally Adjusted","Quarterly",62597,"$ Millions","GDP"
"readabs",1959-09-01,"Real net national disposable income: Chain volume measures ; (SA)","A2304414J","Seasonally Adjusted","Quarterly",57408,"$ Millions","GDP"
"readabs",1959-09-01,"Real net national disposable income per capita: Chain volume measures ; (SA)","A2304416L","Seasonally Adjusted","Quarterly",NA,"$","GDP"
"readabs",1959-09-01,"Gross domestic product: Current prices ; (SA)","A2304418T","Seasonally Adjusted","Quarterly",3973,"$ Millions","GDP"
"readabs",1959-09-01,"GDP per capita: Current prices ; (SA)","A2304420C","Seasonally Adjusted","Quarterly",NA,"$","GDP"
"readabs",1959-09-01,"Gross national income: Current prices ; (SA)","A2304422J","Seasonally Adjusted","Quarterly",4007,"$ Millions","GDP"
"readabs",1959-09-01,"Net saving: Current prices ; (SA)","A2304424L","Seasonally Adjusted","Quarterly",582,"$ Millions","GDP"
"readabs",1959-09-01,"Household saving ratio: Ratio ; (SA)","A2323382F","Seasonally Adjusted","Quarterly",15.5,"proportion","GDP"
"readabs",1959-09-01,"Hours worked: Index ; (SA)","A2304428W","Seasonally Adjusted","Quarterly",NA,"Index","GDP"
"readabs",1959-09-01,"Hours worked market sector: Index ; (SA)","A2304190J","Seasonally Adjusted","Quarterly",NA,"Index","GDP"
"readabs",1959-09-01,"GDP per hour worked: Index ; (SA)","A2304192L","Seasonally Adjusted","Quarterly",NA,"Index","GDP"
"readabs",1959-09-01,"Gross value added per hour worked market sector: Index ; (SA)","A3606058X","Seasonally Adjusted","Quarterly",NA,"Index","GDP"
"readabs",1959-09-01,"Gross domestic product: Index ; (SA)","A2304196W","Seasonally Adjusted","Quarterly",NA,"Index","GDP"
"readabs",1959-09-01,"Domestic final demand: Index ; (SA)","A2304198A","Seasonally Adjusted","Quarterly",NA,"Index","GDP"
"readabs",1959-09-01,"Terms of trade: Index ; (SA)","A2304200A","Seasonally Adjusted","Quarterly",52.7,"Index","GDP"
"readabs",1985-09-01,"Unit labour cost - Nominal ; (SA)","A2433068T","Seasonally Adjusted","Quarterly",39,"Index","GDP"
"readabs",1985-09-01,"Unit labour cost - Real ; (SA)","A2433071F","Seasonally Adjusted","Quarterly",121.9,"Index","GDP"
"readabs",1959-09-01,"Gross domestic product - Expenditure based: Chain volume measures ; (SA)","A2302586T","Seasonally Adjusted","Quarterly",73246,"$ Millions","GDP"
