"package","date","series","series_id","series_type","frequency","value","category"
"readabs",1978-02-01,"Employed total ;  Persons ;","A84423043C","Seasonally Adjusted","Monthly",5997.4221107,"Labour force"
"readabs",1978-02-01,"> Employed full-time ;  Persons ;","A84423041X","Seasonally Adjusted","Monthly",5079.3285339,"Labour force"
"readabs",1978-02-01,"> Employed part-time ;  Persons ;","A84423042A","Seasonally Adjusted","Monthly",918.0935769,"Labour force"
"readabs",1978-02-01,"Employment to population ratio ;  Persons ;","A84423054K","Seasonally Adjusted","Monthly",57.1764081,"Labour force"
"readabs",1978-02-01,"Unemployed total ;  Persons ;","A84423046K","Seasonally Adjusted","Monthly",426.8704889,"Labour force"
"readabs",1978-02-01,"> Unemployed looked for full-time work ;  Persons ;","A84423044F","Seasonally Adjusted","Monthly",354.7428158,"Labour force"
"readabs",1978-02-01,"> Unemployed looked for only part-time work ;  Persons ;","A84423045J","Seasonally Adjusted","Monthly",72.1276731,"Labour force"
"readabs",1978-02-01,"Unemployment rate ;  Persons ;","A84423050A","Seasonally Adjusted","Monthly",6.6446302,"Labour force"
"readabs",1978-02-01,"> Unemployment rate looked for full-time work ;  Persons ;","A84423052F","Seasonally Adjusted","Monthly",6.5281222,"Labour force"
"readabs",1978-02-01,"> Unemployment rate looked for only part-time work ;  Persons ;","A84423053J","Seasonally Adjusted","Monthly",7.2839957,"Labour force"
"readabs",1978-02-01,"Labour force total ;  Persons ;","A84423047L","Seasonally Adjusted","Monthly",6424.2925996,"Labour force"
"readabs",1978-02-01,"Participation rate ;  Persons ;","A84423051C","Seasonally Adjusted","Monthly",61.2459768,"Labour force"
"readabs",1978-02-01,"Underemployment rate (proportion of labour force) ;  Persons ;","A85255725J","Seasonally Adjusted","Monthly",2.5514403,"Labour force"
"readabs",1978-02-01,"Underutilisation rate ;  Persons ;","A85255726K","Seasonally Adjusted","Monthly",9.1960705,"Labour force"
"readabs",2017-09-01,"Index Numbers ;  All groups CPI ;  Australia ;","A128478317T","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Food and non-alcoholic beverages ;  Australia ;","A128480733V","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Bread and cereal products ;  Australia ;","A128475629X","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Meat and seafoods ;  Australia ;","A128479215W","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Dairy and related products ;  Australia ;","A128477405X","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Fruit and vegetables ;  Australia ;","A128480215V","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Food products n.e.c. ;  Australia ;","A128475329W","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Non-alcoholic beverages ;  Australia ;","A128473623X","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Alcohol and tobacco ;  Australia ;","A128477399R","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Alcoholic beverages ;  Australia ;","A128479281V","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Tobacco ;  Australia ;","A128484257R","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Clothing and footwear ;  Australia ;","A128475583C","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Garments ;  Australia ;","A128478847A","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Housing ;  Australia ;","A128485865L","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Rents ;  Australia ;","A128473449C","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  New dwelling purchase by owner-occupiers ;  Australia ;","A128475405L","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Electricity ;  Australia ;","A128474303F","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Gas and other household fuels ;  Australia ;","A128476849V","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Furnishings, household equipment and services ;  Australia ;","A128485881L","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Health ;  Australia ;","A128473315W","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Transport ;  Australia ;","A128482435J","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Automotive fuel ;  Australia ;","A128484685K","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Communication ;  Australia ;","A128475063X","Original","Monthly",100,"Prices"
"readabs",2017-09-01,"Index Numbers ;  Recreation and culture ;  Australia ;","A128478473V","Original","Monthly",100,"Prices"
