target,horizon,RBA,AR(1),Elastic Net,Historical Mean,LASSO,Random Forest,Ridge,XGBoost
CPI Inflation,0,0.287,0.168,1.021,4.012,0.988,0.542,1.451,0.958
CPI Inflation,1,0.592,0.792,1.185,4.005,1.187,1.274,1.877,1.423
CPI Inflation,2,0.912,1.19,1.243,4.016,1.269,1.24,1.981,1.441
CPI Inflation,4,1.442,1.825,1.684,4.046,1.752,1.432,2.568,1.635
CPI Inflation,8,1.867,2.284,2.225,4.087,2.38,1.482,2.806,1.656
GDP Growth,0,0.797,0.983,0.113,0.958,0.117,0.202,0.202,0.306
GDP Growth,1,1.005,0.977,0.967,0.967,0.967,1.096,2.106,1.153
GDP Growth,2,1.055,0.975,0.97,0.97,0.97,0.991,1.877,1.027
GDP Growth,4,1.066,0.97,0.97,0.97,0.973,0.994,2.047,1.007
GDP Growth,8,1.195,0.983,0.982,0.982,0.982,1.016,1.216,0.997
Underlying Inflation,0,0.289,0.117,0.681,2.168,0.751,0.44,0.943,0.584
Underlying Inflation,1,0.452,0.337,1.045,2.164,1.044,0.996,1.898,0.971
Underlying Inflation,2,0.657,0.566,1.053,2.168,1.063,0.997,1.858,1.073
Underlying Inflation,4,0.986,0.951,1.223,2.179,1.294,1.022,1.542,1.138
Underlying Inflation,8,1.415,1.364,1.763,2.201,1.857,0.929,1.682,1.005
Unemployment Rate,0,0.389,0.045,0.759,1.933,0.72,0.418,1.082,0.553
Unemployment Rate,1,0.555,0.282,0.999,1.936,1.101,0.909,1.421,0.926
Unemployment Rate,2,0.68,0.466,1.093,1.94,1.094,1.019,1.601,1.023
Unemployment Rate,4,0.886,0.742,1.4,1.945,1.356,1.231,2.073,1.297
Unemployment Rate,8,1.075,1.073,1.849,1.997,1.966,1.461,2.294,1.521
