target,horizon,AR(1),Elastic Net,Historical Mean,LASSO,Random Forest,Ridge,XGBoost
CPI Inflation,0,0.586,3.555,13.969,3.441,1.889,5.052,3.337
CPI Inflation,1,1.339,2.003,6.766,2.005,2.152,3.171,2.404
CPI Inflation,2,1.305,1.364,4.406,1.393,1.361,2.173,1.581
CPI Inflation,4,1.266,1.168,2.806,1.215,0.993,1.781,1.134
CPI Inflation,8,1.223,1.192,2.189,1.275,0.794,1.503,0.887
GDP Growth,0,1.233,0.142,1.201,0.147,0.253,0.253,0.384
GDP Growth,1,0.971,0.962,0.962,0.962,1.09,2.095,1.147
GDP Growth,2,0.924,0.919,0.919,0.919,0.939,1.778,0.973
GDP Growth,4,0.91,0.911,0.911,0.913,0.933,1.921,0.945
GDP Growth,8,0.822,0.821,0.821,0.821,0.85,1.017,0.834
Underlying Inflation,0,0.406,2.352,7.488,2.595,1.519,3.259,2.019
Underlying Inflation,1,0.745,2.313,4.789,2.311,2.204,4.2,2.149
Underlying Inflation,2,0.86,1.601,3.298,1.618,1.517,2.826,1.632
Underlying Inflation,4,0.965,1.241,2.211,1.313,1.037,1.565,1.155
Underlying Inflation,8,0.964,1.246,1.555,1.312,0.657,1.189,0.711
Unemployment Rate,0,0.115,1.95,4.966,1.849,1.073,2.781,1.421
Unemployment Rate,1,0.508,1.801,3.49,1.985,1.638,2.561,1.67
Unemployment Rate,2,0.685,1.606,2.851,1.608,1.498,2.353,1.504
Unemployment Rate,4,0.837,1.581,2.196,1.531,1.39,2.341,1.464
Unemployment Rate,8,0.998,1.719,1.857,1.828,1.359,2.133,1.414
