target,horizon,best_ml_model,best_ml_rmsfe,mafe,bias,n,rba_rmsfe,improvement_pct
CPI Inflation,0,AR(1),0.168,0.1284954658134879,-0.11162937402980588,131,0.287,41.4
CPI Inflation,1,AR(1),0.792,0.5619638665623485,-0.0896173101580929,131,0.592,-33.9
CPI Inflation,2,AR(1),1.19,0.8961910374200031,-0.07389078612464693,130,0.912,-30.5
CPI Inflation,4,Random Forest,1.432,1.1161794270833332,-0.5855106770833334,128,1.442,0.7
CPI Inflation,8,Random Forest,1.482,1.17187876344086,-0.40373521505376325,124,1.867,20.6
GDP Growth,0,Elastic Net,0.113,0.059586525600286565,0.011024605353013023,132,0.797,85.8
GDP Growth,1,Elastic Net,0.967,0.5246250171247215,-0.03463351433947591,131,1.005,3.8
GDP Growth,1,Historical Mean,0.967,0.5246250171247215,-0.03463351433947589,131,1.005,3.8
GDP Growth,1,LASSO,0.967,0.5246250171247215,-0.03463351433947591,131,1.005,3.8
GDP Growth,2,Historical Mean,0.97,0.5267560700686674,-0.030306979789127157,130,1.055,8.1
GDP Growth,4,AR(1),0.97,0.5236857516705563,-0.02374386437721473,128,1.066,9
GDP Growth,8,Elastic Net,0.982,0.5248796713310946,-0.05636710249832826,124,1.195,17.9
GDP Growth,8,Historical Mean,0.982,0.5248796713310946,-0.056367102498328256,124,1.195,17.9
GDP Growth,8,LASSO,0.982,0.5248796713310946,-0.05636710249832826,124,1.195,17.9
Underlying Inflation,0,AR(1),0.117,0.049077157635505325,-0.0029670578517265503,131,0.289,59.4
Underlying Inflation,1,AR(1),0.337,0.2345638922771547,0.006956606270410853,131,0.452,25.5
Underlying Inflation,2,AR(1),0.566,0.3712030974427514,0.017463761170539712,130,0.657,14
Underlying Inflation,4,AR(1),0.951,0.6010288322390824,0.03740809385674098,128,0.986,3.5
Underlying Inflation,8,Random Forest,0.929,0.7741766129032259,-0.3497427419354839,124,1.415,34.3
Unemployment Rate,0,AR(1),0.045,0.025207981483399814,-0.013614889475098035,134,0.389,88.5
Unemployment Rate,1,AR(1),0.282,0.18272648781311998,-0.06461453341228166,133,0.555,49.2
Unemployment Rate,2,AR(1),0.466,0.3205647417383366,-0.11597495629800844,132,0.68,31.5
Unemployment Rate,4,AR(1),0.742,0.5540475196115973,-0.22171031902316227,130,0.886,16.3
Unemployment Rate,8,AR(1),1.073,0.8309035693402949,-0.40593713219332583,126,1.075,0.2
